[2026-03-16 05:41:17 UTC] Endurance test started — PID 82923
[2026-03-16 05:41:17 UTC] Target: 24h at 1 req/s, cycling 60 ASINs
[2026-03-16 05:41:17 UTC] Stop: kill $(cat spikes/endurance.pid)
[2026-03-16 06:41:17 UTC] 📊 Hour 2: 3190 ok / 0 problems (429:0 403:0 err:0)
[2026-03-16 06:54:20 UTC] ⚠️ 429 at request #3885 (B0D9JG3QCP)
[2026-03-16 06:54:21 UTC] ⚠️ 429 at request #3886 (B0CJ4DKFRG)
[2026-03-16 06:54:23 UTC] ⚠️ 429 at request #3887 (B0CHML68V7)
[2026-03-16 06:54:24 UTC] ⚠️ 429 at request #3888 (B0CJ3F5FJP)
[2026-03-16 06:54:25 UTC] ⚠️ 429 at request #3889 (B0CMK3JWY1)
[2026-03-16 06:54:26 UTC] ⚠️ 429 at request #3890 (B0BQXKW8JN)
[2026-03-16 06:54:27 UTC] ⚠️ 429 at request #3891 (B0BRJM8BGY)
[2026-03-16 06:54:28 UTC] ⚠️ 429 at request #3892 (B0B7CPSN2K)
[2026-03-16 06:54:29 UTC] ⚠️ 429 at request #3893 (B09HN37XDT)
[2026-03-16 06:54:30 UTC] ⚠️ 429 at request #3894 (B0BG9433MV)
[2026-03-16 06:54:31 UTC] ⚠️ 429 at request #3895 (B0BG94CL5Y)
[2026-03-16 06:54:32 UTC] ⚠️ 429 at request #3896 (B0C75FL2PK)
[2026-03-16 06:54:33 UTC] ⚠️ 429 at request #3897 (B0CH54XPNW)
[2026-03-16 06:54:34 UTC] ⚠️ 429 at request #3898 (B0C4HSLJR3)
[2026-03-16 06:54:35 UTC] ⚠️ 429 at request #3899 (B0CX5C6SL7)
[2026-03-16 06:54:36 UTC] ⚠️ 429 at request #3900 (B0CR1JKLDL)
[2026-03-16 06:54:37 UTC] ⚠️ 429 at request #3901 (B0D1XD1ZV3)
[2026-03-16 06:54:38 UTC] ⚠️ 429 at request #3902 (B09V3KXJPB)
[2026-03-16 06:54:39 UTC] ⚠️ 429 at request #3903 (B0BSHF7WHW)
[2026-03-16 06:54:40 UTC] ⚠️ 429 at request #3904 (B07FZ8S74R)
[2026-03-16 06:54:41 UTC] ⚠️ 429 at request #3905 (B09JQL3NWT)
[2026-03-16 06:54:42 UTC] ⚠️ 429 at request #3906 (B0CX23V2ZK)
[2026-03-16 06:54:43 UTC] ⚠️ 429 at request #3907 (B08N5WRWNW)
[2026-03-16 06:54:44 UTC] ⚠️ 429 at request #3908 (B0CHX1W1XY)
[2026-03-16 06:54:45 UTC] ⚠️ 429 at request #3909 (B09B8DQ26F)
[2026-03-16 06:54:47 UTC] ⚠️ 429 at request #3910 (B0CL5KNB9M)
[2026-03-16 06:54:48 UTC] ⚠️ 429 at request #3911 (B0C1H26C46)
[2026-03-16 06:54:49 UTC] ⚠️ 429 at request #3912 (B0BDHWDR12)
[2026-03-16 06:54:50 UTC] ⚠️ 429 at request #3913 (B09JQMJHXY)
[2026-03-16 06:54:51 UTC] ⚠️ 429 at request #3914 (B07ZPKN6YR)
[2026-03-16 06:54:52 UTC] ⚠️ 429 at request #3915 (B08BHXG144)
[2026-03-16 06:54:53 UTC] ⚠️ 429 at request #3916 (B0CHWRXH8B)
[2026-03-16 06:54:54 UTC] ⚠️ 429 at request #3917 (B0931VRJT5)
[2026-03-16 06:54:55 UTC] ⚠️ 429 at request #3918 (B0BDJ279KF)
[2026-03-16 06:54:56 UTC] ⚠️ 429 at request #3919 (B0BTJ6KBVB)
[2026-03-16 06:54:57 UTC] ⚠️ 429 at request #3920 (B0CFWQSDWQ)
[2026-03-16 06:54:58 UTC] ⚠️ 429 at request #3921 (B0BN72Y6WP)
[2026-03-16 06:54:59 UTC] ⚠️ 429 at request #3922 (B0CG1B94S3)
[2026-03-16 06:55:00 UTC] ⚠️ 429 at request #3923 (B0BTFKXQFL)
[2026-03-16 06:55:01 UTC] ⚠️ 429 at request #3924 (B0CZSGWLD9)
[2026-03-16 06:55:02 UTC] ⚠️ 429 at request #3925 (B0D1222MRK)
[2026-03-16 06:55:03 UTC] ⚠️ 429 at request #3926 (B0DJM1ZV5J)
[2026-03-16 06:55:04 UTC] ⚠️ 429 at request #3927 (B0DJZFX7DC)
[2026-03-16 06:55:05 UTC] ⚠️ 429 at request #3928 (B0D77BX6LV)
[2026-03-16 06:55:06 UTC] ⚠️ 429 at request #3929 (B0DGJGJK58)
[2026-03-16 06:55:08 UTC] ⚠️ 429 at request #3930 (B0C8PSRWFM)
[2026-03-16 06:55:09 UTC] ⚠️ 429 at request #3931 (B0BT2KFJ2V)
[2026-03-16 06:55:10 UTC] ⚠️ 429 at request #3932 (B0D5B9V3XQ)
[2026-03-16 06:55:11 UTC] ⚠️ 429 at request #3933 (B0CJCJHXHF)
[2026-03-16 06:55:12 UTC] ⚠️ 429 at request #3934 (B09HSR83TV)
[2026-03-16 06:55:13 UTC] ⚠️ 429 at request #3935 (B0BXN2FK8P)
[2026-03-16 06:55:14 UTC] ⚠️ 429 at request #3936 (B0CSTJ2Y5F)
[2026-03-16 06:55:15 UTC] ⚠️ 429 at request #3937 (B0CY63ZJWT)
[2026-03-16 06:55:16 UTC] ⚠️ 429 at request #3938 (B0D4JRKNMD)
[2026-03-16 06:55:17 UTC] ⚠️ 429 at request #3939 (B0D24JKRM4)
[2026-03-16 06:55:18 UTC] ⚠️ 429 at request #3940 (B0CYPSNTT6)
[2026-03-16 06:55:19 UTC] ⚠️ 429 at request #3941 (B0DFDJHQ6Z)
[2026-03-16 06:55:20 UTC] ⚠️ 429 at request #3942 (B0DL13VQPZ)
[2026-03-16 06:55:21 UTC] ⚠️ 429 at request #3943 (B0DDRG9V47)
[2026-03-16 06:55:22 UTC] ⚠️ 429 at request #3944 (B0DDT7MFJH)
